,action,effectiveness
389,Cease or prohibit activities that cause disturbance during sensitive periods for marine and freshwater mammals,No evidence found (no assessment)
390,Cease or prohibit activities that cause disturbance in sensitive areas for marine and freshwater mammals,Likely to be beneficial
391,Cease or prohibit aggregate extraction,Beneficial
392,Cease or prohibit all (mobile and static) fishing gears that catch bottom (demersal) species,Awaiting assessment
393,Cease or prohibit all commercial fishing,Awaiting assessment
394,Cease or prohibit all fishing activity in a marine protected area with limited exceptions,Awaiting assessment
395,Cease or prohibit all non-towed (static) fishing gear,Awaiting assessment
396,Cease or prohibit all towed (mobile) fishing gear,Beneficial
397,Cease or prohibit all types of fishing,Likely to be beneficial
398,Cease or prohibit all types of fishing,No evidence found (no assessment)
399,Cease or prohibit all types of fishing in a marine protected area,Awaiting assessment
400,Cease or prohibit aquaculture activity,Unknown effectiveness (limited evidence)
401,Cease or prohibit bottom trawling,Likely to be beneficial
402,Cease or prohibit commercial fishing,Unknown effectiveness (limited evidence)
403,Cease or prohibit commercial fishing,No evidence found (no assessment)
404,Cease or prohibit customary fishing (indigenous fishing for cultural and community needs),Awaiting assessment
405,Cease or prohibit discharge of waste effluents overboard from vessels,No evidence found (no assessment)
406,Cease or prohibit dredging,Likely to be beneficial
407,Cease or prohibit line fishing,Awaiting assessment
408,Cease or prohibit marine mining,Unknown effectiveness (limited evidence)
409,Cease or prohibit midwater/semi-pelagic trawling,No evidence found (no assessment)
410,Cease or prohibit mining waste (tailings) disposal at sea,No evidence found (no assessment)
411,Cease or prohibit mobile fishing gears that catch bottom (demersal) species and are dragged across the seafloor,Awaiting assessment
412,Cease or prohibit mobile midwater (pelagic) fishing gears,Awaiting assessment
413,Cease or prohibit oil and gas drilling,No evidence found (no assessment)
414,Cease or prohibit shellfish dredging,Awaiting assessment
415,Cease or prohibit shipping,Unknown effectiveness (limited evidence)
416,Cease or prohibit spearfishing,Awaiting assessment
417,Cease or prohibit static fishing gear,No evidence found (no assessment)
418,Cease or prohibit the deposit of drill cuttings on the seabed,No evidence found (no assessment)
419,Cease or prohibit the disposal of drill cuttings at sea or in rivers,No evidence found (no assessment)
420,Cease or prohibit the disposal of drill cuttings at sea or in rivers,No evidence found (no assessment)
421,Cease or prohibit the disposal of mining waste (tailings) at sea or in rivers,No evidence found (no assessment)
422,Cease or prohibit the disposal of mining waste (tailings) at sea or in rivers,No evidence found (no assessment)
423,Cease or prohibit the harvest of conch,No evidence found (no assessment)
424,Cease or prohibit the harvest of sea urchins,No evidence found (no assessment)
425,Cease or prohibit the harvesting of scallops,Unknown effectiveness (limited evidence)
426,Cease/reduce payments to cull mammals,Unknown effectiveness (limited evidence)
427,Certify farms and market their products as ‘primate friendly’,No evidence found (no assessment)
428,Certify forest concessions and market their products as ‘primate friendly’,No evidence found (no assessment)
429,Certify mines and market their products as ‘primate friendly’ (e.g. ape-friendly cellular phones),No evidence found (no assessment)
430,Change effluent treatments of domestic and urban waste water,Unknown effectiveness (limited evidence)
431,Change effluent treatments used in agriculture and forestry,No evidence found (no assessment)
432,Change hook baiting technique,Awaiting assessment
433,Change mowing regime,Unknown effectiveness (limited evidence)
434,"Change mowing regime (e.g. timing, frequency, height)",No evidence found (no assessment)
435,Change of crop (i.e. to a crop less palatable to primates),No evidence found (no assessment)
436,Change season/timing of cutting/mowing,Unknown effectiveness (limited evidence)
437,Change season/timing of cutting/mowing: brackish/salt marshes,No evidence found (no assessment)
438,Change season/timing of cutting/mowing: freshwater marshes,Likely to be beneficial
439,Change season/timing of livestock grazing,No evidence found (no assessment)
440,Change season/timing of livestock grazing: brackish/saline swamps,No evidence found (no assessment)
441,Change season/timing of livestock grazing: brackish/salt marshes,Likely to be beneficial
442,Change season/timing of livestock grazing: freshwater marshes,Likely to be beneficial
443,Change season/timing of livestock grazing: freshwater swamps,No evidence found (no assessment)
444,Change season/timing of prescribed burning: brackish/saline swamps,No evidence found (no assessment)
445,Change season/timing of prescribed burning: brackish/salt marshes,No evidence found (no assessment)
446,Change season/timing of prescribed burning: freshwater marshes,Unknown effectiveness (limited evidence)
447,Change season/timing of prescribed burning: freshwater swamps,No evidence found (no assessment)
448,Change season/timing of vegetation harvest: brackish/saline swamps,No evidence found (no assessment)
449,Change season/timing of vegetation harvest: brackish/salt marshes,No evidence found (no assessment)
450,Change season/timing of vegetation harvest: freshwater marshes,Likely to be beneficial
451,Change season/timing of vegetation harvest: freshwater swamps,No evidence found (no assessment)
452,Change the colour (spectral composition) of lighting,Awaiting assessment
453,Change the size of the main body of a trawl net,Awaiting assessment
454,Change the timing of manure application,Unknown effectiveness (limited evidence)
455,Change the timing of ploughing,Unknown effectiveness (limited evidence)
456,Change the towing speed of a trawl net,Awaiting assessment
457,Change tillage practices,Trade-off between benefit and harms
458,Change timing of building work,Unknown effectiveness (limited evidence)
459,Change timing of forestry operations,No evidence found (no assessment)
460,Change timing of maintenance work at road/railway bridges and culverts,No evidence found (no assessment)
461,Change type of livestock,Unknown effectiveness (limited evidence)
462,Change type of livestock,Likely to be beneficial
463,Change type of livestock,No evidence found (no assessment)
464,Change type of livestock grazing: brackish/saline swamps,No evidence found (no assessment)
465,Change type of livestock grazing: brackish/salt marshes,Likely to be beneficial
466,Change type of livestock grazing: freshwater marshes,No evidence found (no assessment)
467,Change type of livestock grazing: freshwater swamps,No evidence found (no assessment)
468,Chase crop raiding primates using dogs,No evidence found (no assessment)
469,Chill seeds of non-woody plants before sowing: brackish/saline wetlands,No evidence found (no assessment)
470,Chill seeds of non-woody plants before sowing: freshwater wetlands,Likely to be beneficial
471,Chill tree/shrub seeds before sowing: brackish/saline wetlands,No evidence found (no assessment)
472,Chill tree/shrub seeds before sowing: freshwater wetlands,No evidence found (no assessment)
473,Classify conservation status of individual sites,No evidence found (no assessment)
474,"Clean anthropogenic platforms, structures or equipment",No evidence found (no assessment)
475,Clean birds following oil spills,Unlikely to be beneficial
476,Clean nest boxes to increase occupancy or reproductive success,Likely to be beneficial
477,"Clean the hull, anchor and chain of commercial and recreational vessels",No evidence found (no assessment)
478,Clean waste water before it enters the environment,No evidence found (no assessment)
479,Clean waste water before it enters the environment,Unknown effectiveness (limited evidence)
480,Clear open patches in the forest,No evidence found (no assessment)
481,Clear or open patches in forests,Trade-off between benefit and harms
482,Clear or open patches in forests,Unknown effectiveness (limited evidence)
483,Clear or open patches in forests,Awaiting assessment
484,Clear vegetation,Likely to be beneficial
